BOOK 12 PARAGRAPH COUNT INVENTORY
==========================================================================================
Date Range: August 17, 1878 to April 25, 1879
==========================================================================================

Filename,Paragraph Count,Start ID,End ID
1878-10-21.md,1,12.878,12.878
1878-10-22.md,2,12.879,12.880
1878-10-23.md,5,12.881,12.885
1878-10-24.md,1,12.886,12.886
1878-10-25.md,6,12.887,12.892
1878-10-26.md,24,12.893,12.916
1878-10-27.md,8,12.917,12.924
1878-10-28.md,1,12.925,12.925
1878-10-29.md,4,12.926,12.929
1878-10-30.md,6,12.930,12.935
1878-10-31.md,3,12.936,12.938
1878-11-01.md,1,12.939,12.939
1878-11-02.md,6,12.940,12.945
1878-11-03.md,4,12.946,12.949
1878-11-04.md,3,12.950,12.952
1878-11-05.md,7,12.953,12.959
1878-11-06.md,4,12.960,12.963
1878-11-07.md,1,12.964,12.964
1878-11-08.md,5,12.965,12.969
1878-11-09.md,6,12.970,12.975
1878-11-10.md,4,12.976,12.979
1878-11-11.md,1,12.980,12.980
1878-11-12.md,5,12.981,12.985
1878-11-13.md,3,12.986,12.988
1878-11-14.md,1,12.989,12.989
1878-11-15.md,1,12.990,12.990
1878-11-16.md,4,12.991,12.994
1878-11-17.md,1,12.995,12.995
1878-11-18.md,4,12.996,12.999
1878-11-19.md,5,12.1000,12.1004
1878-11-20.md,4,12.1005,12.1008
1878-11-21.md,4,12.1009,12.1012
1878-11-22.md,4,12.1013,12.1016
1878-11-23.md,4,12.1017,12.1020
1878-11-24.md,4,12.1021,12.1024
1878-11-25.md,4,12.1025,12.1028
1878-11-26.md,4,12.1029,12.1032
1878-11-27.md,4,12.1033,12.1036
1878-11-28.md,4,12.1037,12.1040
1878-11-29.md,4,12.1041,12.1044
1878-11-30.md,4,12.1045,12.1048
1878-12-01.md,4,12.1049,12.1052
1878-12-02.md,1,12.1053,12.1053
1878-12-03.md,1,12.1054,12.1054
1878-12-04.md,3,12.1055,12.1057
1878-12-05.md,2,12.1058,12.1059
1878-12-06.md,3,12.1060,12.1062
1878-12-07.md,4,12.1063,12.1066
1878-12-08.md,3,12.1067,12.1069
1878-12-09.md,1,12.1070,12.1070
1878-12-10.md,4,12.1071,12.1074
1878-12-11.md,3,12.1075,12.1077
1878-12-12.md,3,12.1078,12.1080
1878-12-13.md,1,12.1081,12.1081
1878-12-14.md,5,12.1082,12.1086
1878-12-15.md,4,12.1087,12.1090
1878-12-16.md,1,12.1091,12.1091
1878-12-17.md,3,12.1092,12.1094
1878-12-18.md,1,12.1095,12.1095
1878-12-19.md,2,12.1096,12.1097
1878-12-20.md,1,12.1098,12.1098
1878-12-21.md,4,12.1099,12.1102
1878-12-22.md,1,12.1103,12.1103
1878-12-23.md,2,12.1104,12.1105
1878-12-24.md,4,12.1106,12.1109
1878-12-25.md,5,12.1110,12.1114
1878-12-26.md,2,12.1115,12.1116
1878-12-27.md,2,12.1117,12.1118
1878-12-28.md,4,12.1119,12.1122
1878-12-29.md,5,12.1123,12.1127
1878-12-30.md,4,12.1128,12.1131
1878-12-31.md,5,12.1132,12.1136
1879-01-01.md,5,12.1137,12.1141
1879-01-02.md,4,12.1142,12.1145
1879-01-03.md,1,12.1146,12.1146
1879-01-04.md,4,12.1147,12.1150
1879-01-05.md,4,12.1151,12.1154
1879-01-06.md,4,12.1155,12.1158
1879-01-07.md,1,12.1159,12.1159
1879-01-08.md,1,12.1160,12.1160
1879-01-09.md,4,12.1161,12.1164
1879-01-10.md,1,12.1165,12.1165
1879-01-11.md,2,12.1166,12.1167
1879-01-12.md,2,12.1168,12.1169
1879-01-13.md,2,12.1170,12.1171
1879-01-14.md,3,12.1172,12.1174
1879-01-15.md,2,12.1175,12.1176
1879-01-16.md,3,12.1177,12.1179
1879-01-17.md,7,12.1180,12.1186
1879-01-18.md,4,12.1187,12.1190
1879-01-19.md,2,12.1191,12.1192
1879-01-20.md,1,12.1193,12.1193
1879-01-21.md,2,12.1194,12.1195
1879-01-22.md,5,12.1196,12.1200
1879-01-23.md,5,12.1201,12.1205
1879-01-24.md,1,12.1206,12.1206
1879-01-25.md,4,12.1207,12.1210
1879-01-26.md,5,12.1211,12.1215
1879-01-27.md,3,12.1216,12.1218
1879-01-28.md,6,12.1219,12.1224
1879-01-29.md,3,12.1225,12.1227
1879-01-30.md,4,12.1228,12.1231
1879-01-31.md,1,12.1232,12.1232
1879-02-01.md,2,12.1233,12.1234
1879-02-02.md,4,12.1235,12.1238
1879-02-03.md,2,12.1239,12.1240
1879-02-04.md,2,12.1241,12.1242
1879-02-05.md,7,12.1243,12.1249
1879-02-06.md,1,12.1250,12.1250
1879-02-07.md,2,12.1251,12.1252
1879-02-08.md,4,12.1253,12.1256
1879-02-09.md,9,12.1257,12.1265
1879-02-10.md,1,12.1266,12.1266
1879-02-11.md,5,12.1267,12.1271
1879-02-12.md,1,12.1272,12.1272
1879-02-13.md,1,12.1273,12.1273
1879-02-14.md,4,12.1274,12.1277
1879-02-15.md,3,12.1278,12.1280
1879-02-16.md,14,12.1281,12.1294
1879-02-17.md,1,12.1295,12.1295
1879-02-18.md,1,12.1296,12.1296
1879-02-19.md,1,12.1297,12.1297
1879-02-20.md,1,12.1298,12.1298
1879-02-21.md,1,12.1299,12.1299
1879-02-22.md,1,12.1300,12.1300
1879-02-23.md,1,12.1301,12.1301
1879-02-24.md,12,12.1302,12.1313
1879-02-25.md,9,12.1314,12.1322
1879-02-26.md,1,12.1323,12.1323
1879-02-27.md,2,12.1324,12.1325
1879-02-28.md,2,12.1326,12.1327
1879-03-01.md,17,12.1328,12.1344
1879-03-02.md,1,12.1345,12.1345
1879-03-03.md,7,12.1346,12.1352
1879-03-04.md,3,12.1353,12.1355
1879-03-05.md,31,12.1356,12.1386
1879-03-06.md,4,12.1387,12.1390
1879-03-07.md,3,12.1391,12.1393
1879-03-08.md,2,12.1394,12.1395
1879-03-09.md,10,12.1396,12.1405
1879-03-10.md,7,12.1406,12.1412
1879-03-11.md,1,12.1413,12.1413
1879-03-12.md,3,12.1414,12.1416
1879-03-13.md,8,12.1417,12.1424
1879-03-14.md,4,12.1425,12.1428
1879-03-15.md,13,12.1429,12.1441
1879-03-16.md,9,12.1442,12.1450
1879-03-17.md,1,12.1451,12.1451
1879-03-18.md,2,12.1452,12.1453
1879-03-19.md,10,12.1454,12.1463
1879-03-20.md,13,12.1464,12.1476
1879-03-21.md,2,12.1477,12.1478
1879-03-22.md,8,12.1479,12.1486
1879-03-23.md,2,12.1487,12.1488
1879-03-24.md,7,12.1489,12.1495
1879-03-25.md,2,12.1496,12.1497
1879-03-26.md,1,12.1498,12.1498
1879-03-27.md,4,12.1499,12.1502
1879-03-28.md,3,12.1503,12.1505
1879-03-29.md,2,12.1506,12.1507
1879-03-30.md,6,12.1508,12.1513
1879-03-31.md,14,12.1514,12.1527
1879-04-01.md,2,12.1528,12.1529
1879-04-02.md,1,12.1530,12.1530
1879-04-03.md,2,12.1531,12.1532
1879-04-04.md,1,12.1533,12.1533
1879-04-05.md,5,12.1534,12.1538
1879-04-06.md,7,12.1539,12.1545
1879-04-07.md,10,12.1546,12.1555
1879-04-08.md,9,12.1556,12.1564
1879-04-09.md,4,12.1565,12.1568
1879-04-10.md,1,12.1569,12.1569
1879-04-11.md,6,12.1570,12.1575
1879-04-12.md,1,12.1576,12.1576
1879-04-13.md,6,12.1577,12.1582
1879-04-14.md,1,12.1583,12.1583
1879-04-15.md,8,12.1584,12.1591
1879-04-16.md,21,12.1592,12.1612
1879-04-17.md,6,12.1613,12.1618
1879-04-18.md,2,12.1619,12.1620
1879-04-19.md,1,12.1621,12.1621
1879-04-20.md,3,12.1622,12.1624
1879-04-21.md,4,12.1625,12.1628
1879-04-22.md,4,12.1629,12.1632
1879-04-23.md,2,12.1633,12.1634
1879-04-24.md,1,12.1635,12.1635
1879-04-25.md,27,12.1636,12.1662

==========================================================================================
TOTALS: 254 files, 1162 total paragraphs
ID Range: 12.501 to 12.1662
==========================================================================================
